НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Data Science / Machine Learning / AI / Big Data;https://vk.com/datascience_ai;148975449;2746;18793;10.78%;14.61;;
Data Mining | Анализ Данных;https://vk.com/datamining.team;94208167;2476;21470;9.72%;ноя.53;;
Memes on Machine Learning for Young Ladies;https://vk.com/weirdreparametrizationtrick;131489096;2319;12228;9.11%;18.96;;
Neurohive - Нейронные сети;https://vk.com/neurohive;162059595;1585;11497;6.22%;13.79;;
Институт биоинформатики;https://vk.com/bioinf;29354345;1453;25514;5.71%;май.69;;
Мы читаем статьи;https://vk.com/papersreaders;154085965;1452;6808;5.70%;21.33;;
Data Mining Labs;https://vk.com/odsai;49815762;1009;4033;3.96%;25.фев;;
Хакатоны | Russian Hackers;https://vk.com/russian_hackers;152166875;1008;12256;3.96%;авг.22;;
ModelOverfit;https://vk.com/modeloverfit;72870626;998;2716;3.92%;36.75;;
JetBrains;https://vk.com/jetbrains;169012512;969;20433;3.81%;апр.74;;
Сортируй;https://vk.com/sortnlogn;137565779;936;26635;3.68%;мар.51;;
Machine Learning Lab | ITMO University;https://vk.com/itmo.mllab;196243666;933;6402;3.66%;14.57;;
Поток;https://vk.com/miptstream;26356004;889;13407;3.49%;июн.63;;
Хабр Разработка;https://vk.com/habr.develop;193131136;867;20479;3.40%;апр.23;;
TensorFlow;https://vk.com/tensorflow;110085011;810;2745;3.18%;29.51;;
МЦНМО;https://vk.com/mccme;65937233;806;15374;3.17%;май.24;;
ЦМФ;https://vk.com/cmf_ynvrsty;42556983;804;11599;3.16%;июн.93;;
deep vk;https://vk.com/deepvk;166490678;791;4185;3.11%;18.90;;
ФПМИ (МФТИ — Физтех);https://vk.com/miptfpmi;166330483;787;10808;3.09%;июл.28;;
Математура: книги издательства МЦНМО;https://vk.com/matematura;109232148;785;19656;3.08%;мар.99;;
Kaspersky Team;https://vk.com/kaspersky.team;98006063;761;26414;2.99%;фев.88;;
AI | Искусственный интеллект;https://vk.com/clubhabrahabr;53449719;721;22008;2.83%;мар.28;;
NOP::Nuances of programming;https://vk.com/nuancesprog;165100725;665;13986;2.61%;апр.75;;
Habrahabr | Хабрахабр | Habr | Хабр - fun page;https://vk.com/habrfun;127330771;656;16204;2.58%;04.май;;
Физтех.Сегодня;https://vk.com/students_of_mipt;73965718;631;14707;2.48%;апр.29;;
VK Lab;https://vk.com/lab;187376020;622;5496;2.44%;ноя.32;;
Lectures;https://vk.com/lecturesclub;193969962;622;7536;2.44%;авг.25;;
Этичный Хакер;https://vk.com/hack_less;64524646;605;17489;2.38%;мар.46;;
Центр карьеры МФТИ;https://vk.com/miptjob;43281341;600;8278;2.36%;июл.25;;
Международные стажировки для МФТИ;https://vk.com/mipt_internships;129056835;599;8683;2.35%;июн.90;;
Python/Django;https://vk.com/we_use_django;149218373;594;19937;2.33%;фев.98;;
Less Wrong по-русски;https://vk.com/less_wrong;65688570;592;17468;2.32%;мар.39;;
ФРИИ;https://vk.com/friifond;55533849;588;22855;2.31%;фев.57;;
Machine Learning Podcast;https://vk.com/mlpodcast;190906813;581;2827;2.28%;20.55;;
Профком обучающихся МФТИ;https://vk.com/profkom_phystech;7984081;570;12009;2.24%;апр.75;;
IT Resume;https://vk.com/itresume;197837145;567;14972;2.23%;мар.79;;
Bain & Company;https://vk.com/publicbain;77947518;566;26974;2.22%;02.окт;;
НТР;https://vk.com/nii_rap;71794920;565;28582;2.22%;янв.98;;
Python | Django | Flask | Pandas | PIP | FastApi;https://vk.com/ez_python;41943023;564;19229;2.21%;фев.93;;
Python/Django | Pirsipy;https://vk.com/pirsipy;69108280;561;20836;2.20%;фев.69;;
IT's Tinkoff;https://vk.com/itstinkoff;151223562;546;19230;2.14%;фев.84;;
Python;https://vk.com/we_use_python;52104930;538;19703;2.11%;фев.73;;
/sci/;https://vk.com/real_sci_intellectualism;87998095;533;5834;2.09%;сен.14;;
PyLounge - программирование на Python и всё о IT;https://vk.com/pylounge;194576836;520;15587;2.04%;мар.34;;
Упражнения SQL (sql-ex.ru);https://vk.com/sqlex;152850727;517;14346;2.03%;мар.60;;
ЦЕРНач;https://vk.com/cernach;103319735;504;12923;1.98%;мар.90;;
Ozon Tech;https://vk.com/techozon;209665992;481;12821;1.89%;мар.75;;
The Experts: School of Finance;https://vk.com/sfinancegroup;125749731;474;19005;1.86%;фев.49;;
Лекторий МФТИ;https://vk.com/lectoriy_mipt_ru;32643806;465;6072;1.83%;июл.66;;
The Foundation;https://vk.com/laythefoundation;45842880;464;19550;1.82%;фев.37;;
Party Quant;https://vk.com/partyquant;38079632;460;20576;1.81%;фев.24;;
Webtackles — веб-разработка, фронтенд;https://vk.com/webtackles;78554274;457;27654;1.79%;янв.65;;
Российский научный фонд;https://vk.com/rnfpage;107824202;455;25284;1.79%;янв.80;;
Music for coding;https://vk.com/soundtracks_for_coding;74779558;453;18925;1.78%;фев.39;;
Высшая математика – просто и доступно!;https://vk.com/mathprofiru;153273395;451;15408;1.77%;фев.93;;
Изучение Java c нуля!;https://vk.com/studyjava;58178357;443;25261;1.74%;янв.75;;
Бластим;https://vk.com/blastim;92248679;441;17496;1.73%;фев.52;;
Абитуриенты МФТИ;https://vk.com/abitunet;30610911;440;18696;1.73%;фев.35;;
Магистратура МФТИ;https://vk.com/magistr.mipt;72263219;440;7265;1.73%;06.июн;;
MTS AI;https://vk.com/mtsai;212087550;440;6389;1.73%;июн.89;;
Незадача дня;https://vk.com/problemaday;125266332;430;13032;1.69%;мар.30;;
Empty Set of Ideas;https://vk.com/empty_set_of_ideas;126758777;420;4657;1.65%;09.фев;;
МКИ (студсовет МФТИ);https://vk.com/mki_mipt;33113779;416;7418;1.63%;май.61;;
DataScience;https://vk.com/k0d_ds;11630416;413;4529;1.62%;09.дек;;
Бизнес-инкубатор ВШЭ;https://vk.com/hseinc;24864761;411;27522;1.61%;янв.49;;
Вычислительная экономика;https://vk.com/compecon;67401618;411;5387;1.61%;июл.63;;
Andy: стажировки для тебя;https://vk.com/andy_for_you;143819122;411;24483;1.61%;янв.68;;
GreyTeam | Хакеры;https://vk.com/greyteam;169106523;409;23922;1.61%;янв.71;;
TEACH-IN ЛЕКЦИИ УЧЕНЫХ МГУ;https://vk.com/teachinmsu;176441665;405;16689;1.59%;фев.43;;
Обычный программист;https://vk.com/oproger;104610799;404;16233;1.59%;фев.49;;
Проецируй;https://vk.com/proetsirui;132950129;402;11585;1.58%;мар.47;;
IT-стажировки от FutureToday;https://vk.com/itfutru;204302321;402;21357;1.58%;янв.88;;
Кладовка ITшника;https://vk.com/klad_it;125918837;401;22350;1.57%;янв.79;;
MathWorks MATLAB & Simulink (официальная группа);https://vk.com/mathworks;41030489;379;6868;1.49%;май.52;;
Future Biotech;https://vk.com/futurebiotech;39830937;377;9619;1.48%;мар.92;;
Python движение;https://vk.com/pythonboost;206098555;377;27595;1.48%;янв.37;;
Хемоинформатика и Молекулярное Моделирование;https://vk.com/chemoinformatics;107190233;371;8230;1.46%;апр.51;;
Культурный физтех;https://vk.com/mipt_culture;60098643;369;6171;1.45%;май.98;;
HTML5 , JavaScript(jQuery) , CSS3;https://vk.com/html5js;21217519;368;16459;1.45%;фев.24;;
Python;https://vk.com/k0d_python;8056712;367;9316;1.44%;мар.94;;
Think with Google;https://vk.com/twgru;171636905;361;23108;1.42%;янв.56;;
RWPS;https://vk.com/right_wing_dev_squads;115340687;359;8716;1.41%;04.дек;;
Dark Geometry;https://vk.com/dark_geometry;155010225;358;5177;1.41%;июн.92;;
FinExecutive #1 in finance jobs;https://vk.com/finexecutive;68022762;357;14467;1.40%;фев.47;;
NES Banking & Finance Society;https://vk.com/bfsociety;58712172;355;10329;1.39%;мар.44;;
Технопарк «Сколково»;https://vk.com/technoparkskolkovo;70630039;354;17002;1.39%;02.авг;;
cat /it/blog/sysadmin;https://vk.com/it_blog_sysadm1n;68608975;349;25194;1.37%;янв.39;;
MIL Team;https://vk.com/machine.intelligence;171750876;349;1372;1.37%;25.44;;
PyMagic;https://vk.com/pymagic;211095898;349;5087;1.37%;июн.86;;
