НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Кардиология для специалистов;https://vk.com/kardiologi;201944831;4832;25628;7.39%;18.85;;;
МедЗнания | НМО | Образование для врачей;https://vk.com/medqru;196723089;4517;26500;6.91%;17.май;;;
Евразийская Ассоциация Терапевтов;https://vk.com/euatofficial;73072501;4045;20924;6.18%;19.33;;;
Анестезиологи;https://vk.com/anesthesiology_1;185252735;3635;26274;5.56%;13.83;;;
MEDIC: Кардиология;https://vk.com/medic_cardiology;151114248;3569;17841;5.46%;20.00;;;
Российское кардиологическое общество;https://vk.com/scardio_ru;42095262;3300;21657;5.05%;15.24;;;
Обучение ЭКГ;https://vk.com/club215400862;215400862;3281;21925;5.02%;14.96;;;
Medlectures (в помощь студенту-медику);https://vk.com/medlectures;142795142;3079;24664;4.71%;дек.48;;;
Лейкоформула;https://vk.com/leukoformula;179759900;3029;28182;4.63%;окт.75;;;
Курсы ЭКГ | Вебинары по кардиологии НМО;https://vk.com/pro_ecg;211329390;2995;17429;4.58%;17.18;;;
Неврология для специалистов;https://vk.com/nevrologi;202137781;2937;16657;4.49%;17.63;;;
Неврология;https://vk.com/neurotime;85296109;2764;23637;4.23%;ноя.69;;;
Medicine: Хирургия и топографическая анатомия;https://vk.com/surgerylive;72766988;2684;18556;4.10%;14.46;;;
Будни Хирурга | Budnihirurga(Подкаст о хирургии);https://vk.com/budnihirurga;164355831;2652;17445;4.05%;15.20;;;
MEDFORS - видео по медицине;https://vk.com/medfors;64814372;2622;26525;4.01%;сен.89;;;
Ordinatura.org | Отзывы на ординатуру;https://vk.com/ordinatura_org;203774082;2509;26502;3.84%;сен.47;;;
OmniDoctor;https://vk.com/omnidoctor;193322197;2252;11908;3.44%;18.91;;;
Первый медицинский канал;https://vk.com/1medtv;65486413;2184;13566;3.34%;16.окт;;;
Доказательная медицина для всех;https://vk.com/medspecialru;39535155;2177;29427;3.33%;июл.40;;;
ProDrug;https://vk.com/pro_drug;185982559;2140;17523;3.27%;дек.21;;;
МедикТест;https://vk.com/mediktest;142502256;2092;28169;3.20%;июл.43;;;
Vrachu.ru | НМО | Обучение врачей;https://vk.com/vrachuru;149677915;2090;15756;3.20%;13.26;;;
MEDIC: Педиатрия;https://vk.com/medic_pediatrics;152768410;2073;12829;3.17%;16.16;;;
Practical Cardiology;https://vk.com/practicalcardiology;91306269;2044;11639;3.13%;17.56;;;
Фармакология и лекции;https://vk.com/pharmacyisthescience;59593791;2022;21468;3.09%;сен.42;;;
Медик Валера;https://vk.com/valeramedic;178399888;2017;28300;3.08%;июл.13;;;
Подслушано Медики;https://vk.com/club72912248;72912248;1997;21424;3.05%;сен.32;;;
Easy anatomy - мобильное приложение по анатомии;https://vk.com/club61053965;61053965;1988;23983;3.04%;авг.29;;;
Гинекологи;https://vk.com/gynecology_1;185252721;1951;17609;2.98%;11.авг;;;
ЗАПИСКИ НЕЙРОХИРУРГА / Notes of a neurosurgeon;https://vk.com/notes_neurosurgeon;88115113;1934;18842;2.96%;окт.26;;;
Neuroradiology | Neuroimaging;https://vk.com/neuroradiology_and_neuroimaging;97142335;1926;23342;2.94%;авг.25;;;
Фельдшер;https://vk.com/feldsher_82;206465536;1878;20121;2.87%;сен.33;;;
Медицинская библиотека BooksMed.info;https://vk.com/booksmed;42880497;1870;27204;2.86%;июн.87;;;
Справочник лекарств РЛС;https://vk.com/rlsdigest;157317776;1798;21643;2.75%;авг.31;;;
РОАиСХ;https://vk.com/angiolsurgery;42646398;1794;12615;2.74%;14.22;;;
Анатомия и Топография (АиТ);https://vk.com/club212543190;212543190;1737;11326;2.66%;15.34;;;
SURGERYPUBLIC ™;https://vk.com/surgerypublic;48766739;1704;25582;2.61%;июн.66;;;
Кардиолог Аритмолог Ольга Савонина;https://vk.com/doc_savonina;211108699;1616;19071;2.47%;авг.47;;;
Xray Doctor анатомия, диагностика;https://vk.com/xray_doctor;220087755;1570;16759;2.40%;сен.37;;;
Неонатология и интенсивная терапия;https://vk.com/club111838370;111838370;1552;10749;2.37%;14.44;;;
Ангелы-112;https://vk.com/angely112;158050814;1552;26678;2.37%;май.82;;;
Здоровье во Мне;https://vk.com/zdorovomne;23323608;1551;21017;2.37%;июл.38;;;
Патология (с интересом к медицине);https://vk.com/medicinapatologia;96851432;1529;10620;2.34%;14.40;;;
НИИ СП им. Н.В. Склифосовского;https://vk.com/sklif.official;185966331;1529;16758;2.34%;09.дек;;;
Surgery | Медицина | Анатомия | Хирургия;https://vk.com/surgerychannel;10485914;1505;19607;2.30%;июл.68;;;
Блог микробиолога-практика Романа Овчинникова;https://vk.com/blogmicrobiologa;98287011;1494;19584;2.28%;июл.63;;;
ФAРМАЦИЯ;https://vk.com/pharma_news;169554239;1482;20473;2.27%;июл.24;;;
Доказательства Кокрейн (Cochrane) для всех;https://vk.com/cochrane_russia;125698584;1471;15875;2.25%;сен.27;;;
MEDIC: Внутренние болезни;https://vk.com/medic_intern;151114318;1462;7404;2.24%;19.75;;;
Открытые медицинские коммуникации;https://vk.com/openmedcom;67140651;1455;12718;2.22%;ноя.44;;;
«Амбулаторный врач» | Баллы НМО.;https://vk.com/ambdoc;182952638;1454;6833;2.22%;21.28;;;
Медицина;https://vk.com/medobrazovanye;215631659;1454;9351;2.22%;15.55;;;
[ Нескучная Биохимия ] - для умных,но ленивых :D;https://vk.com/funny_biochemistry;92843387;1430;26335;2.19%;май.43;;;
Лапароскопия.РФ;https://vk.com/club28882148;28882148;1424;9721;2.18%;14.65;;;
Патологоанатом;https://vk.com/club148667302;148667302;1396;9993;2.13%;13.97;;;
Zdrav.ru - для руководителей здравоохранения;https://vk.com/zdravru;105191455;1395;20511;2.13%;июн.80;;;
Supermed;https://vk.com/beavers_group;101599642;1391;16363;2.13%;авг.50;;;
Urgent_Care;https://vk.com/urgent_care;114144217;1388;15806;2.12%;авг.78;;;
ЮрМедЗдрав;https://vk.com/urmedzdrav;146319631;1386;11975;2.12%;ноя.57;;;
PRO-doctor | Анонсы НМО;https://vk.com/anons_nmo;166530677;1374;7032;2.10%;19.54;;;
Медицинская литература;https://vk.com/rosmedkniga;23276385;1362;8926;2.08%;15.26;;;
Medless;https://vk.com/medlessons;97466429;1329;21303;2.03%;июн.24;;;
✱МЕДИЦИНА - НАШ КРЕСТ✱;https://vk.com/nezli_03;131154692;1297;9137;1.98%;14.20;;;
ВЫ Ж ВРАЧ;https://vk.com/spis_world;108587406;1281;16349;1.96%;июл.84;;;
MEMento Mori;https://vk.com/mementomork;185690507;1276;28177;1.95%;апр.53;;;
МедМёд;https://vk.com/medmedicine;214905966;1272;8035;1.94%;15.83;;;
Гастроэнтеролог Харитонов А.Г.;https://vk.com/kharitonov_ag;211539194;1210;21370;1.85%;май.66;;;
Портал Medvestnik.ru;https://vk.com/medicinskiyvestnik;37951196;1190;11705;1.82%;окт.17;;;
Образовательный Центр Фармамед.РФ;https://vk.com/obrfm;197331568;1186;8358;1.81%;14.19;;;
WETLAB | Центр хирургического образования;https://vk.com/wetlab;128779886;1172;14524;1.79%;08.июл;;;
Anatom-expert;https://vk.com/anatom_expert;200420549;1172;21817;1.79%;май.37;;;
MEDполочка | медполочка;https://vk.com/medpopolochkam;166855513;1145;10383;1.75%;11.мар;;;
Альфамедтренинг — курсы BLS, ALS, ITLS;https://vk.com/alfamedtraining;180683193;1137;20073;1.74%;май.66;;;
Анатомия в картинках;https://vk.com/anatomy_jpg;220088211;1134;10982;1.73%;окт.33;;;
Полина Шило | Врач-онколог;https://vk.com/medup_pro;182541436;1108;13339;1.69%;авг.31;;;
Аудиотека для медика [Медицина];https://vk.com/medaudiovk;157926911;1097;9381;1.68%;ноя.69;;;
Medicine: Оториноларингология;https://vk.com/medicinelor;73762354;1084;11143;1.66%;сен.73;;;
Онкологи;https://vk.com/oncology_1;185252675;1083;7249;1.66%;14.94;;;
Cancer Chameleon;https://vk.com/cancerchameleon;200697795;1083;12207;1.66%;авг.87;;;
Медицинский университет МУИР;https://vk.com/meduniversitet;173414478;1075;11668;1.64%;сен.21;;;
Главный Медицинский Канал;https://vk.com/glavmedtv;173392485;1045;12052;1.60%;авг.67;;;
ВРАЧ ПРЕВЕНТИВНОЙ МЕДИЦИНЫ| НУТРИЦИОЛОГ;https://vk.com/dr.anastasia_s;211205672;1040;8869;1.59%;ноя.73;;;
Нейробиология и когнитивистика;https://vk.com/neurocognitivistica;198541633;1033;27521;1.58%;мар.75;;;
Ординатура и аспирантура РНИМУ им.Н.И.Пирогова;https://vk.com/ordinaturarnimu;185658648;1027;11937;1.57%;авг.60;;;
Будни неотлоги. Блог о работе и жизни автора;https://vk.com/neotlogaspb;199097207;1009;13906;1.54%;июл.26;;;
Росздравнадзор;https://vk.com/roszdravnadzorru;184355205;998;16961;1.53%;май.88;;;
SurgiSecret | Хирургия, тренажеры, курсы;https://vk.com/surgisecret;211997975;989;8289;1.51%;ноя.93;;;
Союз Педиатров России, СПб отделение;https://vk.com/pediatriyaspb;88158828;978;10479;1.50%;сен.33;;;
Публичная медицина;https://vk.com/publicmedicine;146608044;978;14745;1.50%;июн.63;;;
Педиатрия и Неонатология;https://vk.com/pediatrics_rus;158911357;967;6000;1.48%;16.дек;;;
Лучевая диагностика сегодня;https://vk.com/yatomograf;40088535;963;7958;1.47%;12.окт;;;
Neutecom | Топическая неврология;https://vk.com/neutecom;94933906;954;14999;1.46%;июн.36;;;
Аудиомедик | Лекции по медицине;https://vk.com/medlektor;136882458;954;9255;1.46%;окт.31;;;
Radiology Study;https://vk.com/radiologystudy;63734658;951;14140;1.45%;июн.73;;;
Red+ Медицинская одежда;https://vk.com/redplus.store;203956119;936;16066;1.43%;май.83;;;
Терапевт, диетолог он-лайн;https://vk.com/terrapevt;171204903;933;11030;1.43%;авг.46;;;
СНО им. Н.И.Пирогова Сеченовского Университета;https://vk.com/sno1med;30748170;926;18608;1.42%;апр.98;;;
ВКачай медицину;https://vk.com/vkachaimedicinu;106049742;926;13139;1.42%;07.май;;;
Медицинская одежда MEDILION;https://vk.com/medilion;196406028;916;23577;1.40%;мар.89;;;
Биология ЕГЭ 2024 | Studarium;https://vk.com/studarium_bio;85601359;682;41488;9.73%;;;;
Биология;https://vk.com/biovk;37948240;665;585871;9.49%;;;;
Химия с Сашей Сильвер | SMITUP | ЕГЭ 2024;https://vk.com/him_smitup;217271320;568;3286;8.10%;;;;
Биология книги;https://vk.com/biologybooks;120203091;514;66360;7.33%;;;;
Химия – Просто;https://vk.com/chemistryeasyru;93343283;491;294258;7.00%;;;;
Химия: 10 класс | Степенин и Дацук;https://vk.com/stepenin10;186218843;473;38128;6.75%;;;;
Медицина, которую мы заслужили;https://vk.com/themedicine;149401625;430;513898;6.13%;;;;
Анатомия;https://vk.com/anatomyia;215631500;354;76403;5.05%;;;;
ЕГЭ ПО ХИМИИ НА МАКСИМУМ;https://vk.com/examtop;174910454;329;36419;4.69%;;;;
Медицина, сэр!;https://vk.com/pulsemedicine;158006400;287;261413;4.09%;;;;
