НАЗВАНИЕ;URL;ID ГРУППЫ;СОВПАВШИХ УЧАСТНИКОВ;ВСЕГО УЧАСТНИКОВ;ТУТ СОСТОИТ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ;В ЭТОЙ ГРУППЕ ПРОЦЕНТ ИСХОДНОЙ АУДИТОРИИ К ЧИСЛУ УЧАСТНИКОВ
Точка доступа к маркетингу;https://vk.com/bizness_online;40018862;180;206045;15.13%;0.09
Деловая локация | Маркетинг и продажи;https://vk.com/ideasbusiness;36557224;120;265919;10.08%;0.05
Интернет-маркетинг | GeniusMarketing;https://vk.com/geniusmarketing;23808636;94;67883;7.90%;0.14
Русский маркетинг;https://vk.com/badsmm;71471665;85;144983;7.14%;0.06
Маркетинг. Дизайн. Landing Page;https://vk.com/marketing_reklama_smm;52942640;77;33260;6.47%;0.23
Типичный Рекламщик;https://vk.com/typicaladman;36498615;74;22841;6.22%;0.32
Церебро Таргет | продвижение и реклама бизнеса;https://vk.com/cerebro_vk;73662138;74;276792;6.22%;0.03
Бизнес Маркетинг;https://vk.com/reklamamarketing;42328702;71;136982;5.97%;0.05
Маркетинг Реклама Бизнес;https://vk.com/marketing_s;33608666;65;221169;5.46%;0.03
Интернет-маркетинг от Convert Monster;https://vk.com/convert_monster;64667574;65;68279;5.46%;0.10
Маркетинг в интернете;https://vk.com/lid_x;38446278;61;6226;5.13%;0.98
Маркетинговое агентство Mokselle;https://vk.com/moksellegroup;64910477;58;21198;4.87%;0.27
Pepper.Ninja: таргет | SMM | парсер;https://vk.com/pepperninja;79174071;58;117130;4.87%;0.05
Реклама с Yagla, Vitamin.tools и LPgenerator;https://vk.com/multilanding;60072709;55;37641;4.62%;0.15
Отзывы о пабликах и рекламодателях;https://vk.com/publicreview;43157672;51;24930;4.29%;0.20
Русабилити | Маркетинг;https://vk.com/rusability;41299554;45;14849;3.78%;0.30
Стартапы | Маркетинг;https://vk.com/beslife;57135099;44;50708;3.70%;0.09
Маркетинг и продажи: даю удочку, а не рыбу;https://vk.com/marketing_prodazhi;73771577;42;33058;3.53%;0.13
Интернет-маркетинг;https://vk.com/praktika_biznesa;63357670;41;19786;3.45%;0.21
АКУЛЕ ПЛЕВАТЬ / Маркетинг без правил;https://vk.com/slovoakulu;74401958;37;18811;3.11%;0.20
SMM. Таргетинг;https://vk.com/target_smm;80368614;37;30782;3.11%;0.12
MediaFresh - аудиошкола PR и маркетинга;https://vk.com/mediafresh;34242796;33;1426;2.77%;фев.31
Ольга Офицерова: таргет, деньги, smm;https://vk.com/smm_nabroski;75710751;33;19165;2.77%;0.17
Маркетинг в социальных сетях, Дамир Халилов;https://vk.com/club54043261;54043261;31;3582;2.61%;0.87
Клиника доброго маркетолога;https://vk.com/kdm_spb;59829810;29;5611;2.44%;0.52
Любопытный Маркетинг и Бизнес;https://vk.com/stealthmarketing;42168669;28;6408;2.35%;0.44
Целевая реклама | SMM, CPA, SEO;https://vk.com/alltarget;53495256;28;7746;2.35%;0.36
Биржа рекламы instagram;https://vk.com/instagram_exchange;76560856;28;36838;2.35%;0.08
Лаборатория Геомаркетинга;https://vk.com/venuelab;35146598;27;633;2.27%;апр.27
Гильдия Маркетологов;https://vk.com/marketersguild;26831939;25;4100;2.10%;0.61
Маркетинговое агентство Брусника (#brusnyka);https://vk.com/brusnyka;32355919;25;3504;2.10%;0.71
Продажи, маркетинг, копирайтинг. Результат;https://vk.com/practical_business_education;48947453;25;4433;2.10%;0.56
Marketing Empire 💢 Империя Маркетинга;https://vk.com/empiremarketing;131224105;25;30931;2.10%;0.08
CPAGRAM - Арбитраж трафика, маркетинг, smm;https://vk.com/cpagram;42519853;24;14497;2.02%;0.17
Кастинги в кино, фильмы, сериалы, рекламу, клипы;https://vk.com/kastingivkino;31563304;23;189586;1.93%;0.01
Доктор Маркетолог;https://vk.com/drmarketolog;42971397;23;2153;1.93%;01.июл
Автоматизация рекламы с Active Traffic;https://vk.com/activetrafficru;44982979;23;10158;1.93%;0.23
Madwins | Маркетинг, SMM продвижение бизнеса;https://vk.com/smm_sell;52303305;23;34330;1.93%;0.07
Эксперт в таргете;https://vk.com/target_expert;82170172;23;4225;1.93%;0.54
Нововведения ВКонтакте. Биржа рекламы. SMM;https://vk.com/vkmod;10574717;22;9055;1.85%;0.24
Гении Маркетинга;https://vk.com/marketing_geniuses;59010800;22;117277;1.85%;0.02
Комплексный Маркетинг - ARTGesheft;https://vk.com/artgesheft;58942245;21;9341;1.76%;0.22
Маркетинг головного мозга - SMMhero.com;https://vk.com/smm.hero;34272677;20;9887;1.68%;0.20
Google Реклама;https://vk.com/rugoogleads;70416507;20;15278;1.68%;0.13
Очередной маркетос;https://vk.com/smm.zorge;75062579;20;3381;1.68%;0.59
Воронка продаж - маркетинговое агентство;https://vk.com/salesfunnel;40550691;19;1859;1.60%;01.фев
Зелёный Маркетинг в социальных сетях;https://vk.com/smmv_ru;52497428;19;1074;1.60%;янв.77
Сандальный таргетинг;https://vk.com/cahdaji;71022186;19;7059;1.60%;0.27
Эффективный таргетинг;https://vk.com/e_targeting;75482618;19;7716;1.60%;0.25
Арбитраж трафика. Topol под ВК Рекламу;https://vk.com/advaction;44282066;18;7298;1.51%;0.25
Маркетинг-кит;https://vk.com/marketingkit;48405847;18;2319;1.51%;0.78
Кропотливый интернет-маркетинг;https://vk.com/leadmarket;61509034;18;13919;1.51%;0.13
Блог о маркетинге - Директор Интернета;https://vk.com/direktorinterneta;65475439;18;8903;1.51%;0.20
MAED. Место силы маркетологов;https://vk.com/marketing.education;67475808;18;10296;1.51%;0.17
Рекламодатель от Бога;https://vk.com/wowtovarka;103763410;18;7173;1.51%;0.25
Актуальный Маркетинг;https://vk.com/actual_marketing;1502457;17;11234;1.43%;0.15
Настройка контекстной рекламы Яндекс Директ;https://vk.com/yandexxdirect;36802796;16;7210;1.34%;0.22
Подслушано  Smm | Cpa | Арбитраж | Все о рекламе;https://vk.com/day_ctr;47848167;16;3170;1.34%;0.50
Фабрика Кликов | Реклама и аналитика;https://vk.com/yandex.direct.nastroika;55353137;16;8386;1.34%;0.19
Записки Web-маркетолога;https://vk.com/clientsmm;44946121;15;725;1.26%;02.июл
Advertology.Ru - Все о рекламе, маркетинге и PR;https://vk.com/advertologyru;45705536;15;4160;1.26%;0.36
Подслушано СРА Маркетинг и Арбитраж Трафика;https://vk.com/cpa_partners;112461268;15;27236;1.26%;0.06
SEO – продвижение  | SMM | Контекст | Таргет;https://vk.com/yarkiyinternetmarketing;23517259;14;2277;1.18%;0.61
Другой Маркетинг;https://vk.com/marketing2ru;37034262;14;11013;1.18%;0.13
Роман Шарафутдинов / Маркетинг и продажи;https://vk.com/sharafutdinov.roman;54406961;14;25272;1.18%;0.06
Сетевой маркетинг;https://vk.com/setemarketing;55397398;14;71325;1.18%;0.02
Интернет-маркетинг: продвижение бизнеса, SMM;https://vk.com/s_marketing;63897554;14;1167;1.18%;янв.20
Контекстная реклама и веб-аналитика;https://vk.com/ppc.webanalytics;64746709;14;7312;1.18%;0.19
Аналитика и эффективный таргетинг;https://vk.com/cloudtarget;83419625;14;1782;1.18%;0.79
Conversion: Маркетинг и Арбитраж Трафика;https://vk.com/conversion_im;130327430;14;16551;1.18%;0.08
Реклама в Instagram;https://vk.com/smartsocialstudio;48726170;13;2369;1.09%;0.55
Маркетинг кит;https://vk.com/marketingkitmaker;55755155;13;5876;1.09%;0.22
Websarafan — маркетинг для предпринимателей;https://vk.com/websarafanru;75162180;13;8554;1.09%;0.15
Яндекс Реклама;https://vk.com/yandex_adv;150593037;13;27726;1.09%;0.05
Маркетограф / Канал Павла Лебедева;https://vk.com/skillsupru;13276348;12;13954;1.01%;0.09
Качаем digital маркетинг/конверсия/автоворонки;https://vk.com/kollegia_marketologov;34535675;12;21048;1.01%;0.06
Блог Игоря Зуевича|Маркетинг|SMM|AI|Продажи;https://vk.com/bizreal;50068303;12;24228;1.01%;0.05
SEMANTICA | Маркетинг, SEO, Реклама;https://vk.com/sd.semantica;64195172;12;14398;1.01%;0.08
Антислив Таргет;https://vk.com/antisliv_rf;96754658;12;3764;1.01%;0.32
SMMART — маркетологи и предприниматели Омска;https://vk.com/smmomsk;29079626;11;1759;0.92%;0.63
Маркетолог Кирилл Магарышкин;https://vk.com/funbiz;35370729;11;6576;0.92%;0.17
Биржа рекламы Инстаграм | Instagram;https://vk.com/birzha_reklamy_instagram;46290658;11;37361;0.92%;0.03
Контекстная реклама, которая приводит клиентов;https://vk.com/yan_dir;61832499;11;4218;0.92%;0.26
Креативная реклама;https://vk.com/cool_ad;90970169;11;92040;0.92%;0.01
Поиск арбитражников и рекламодателей;https://vk.com/arbi.club;103973718;11;5498;0.92%;0.20
Excell Group - Маркетинговое Агентство;https://vk.com/excellgroup;41286578;10;2069;0.84%;0.48
Контент правит! | Контент-маркетинг и SMM;https://vk.com/content_pravit;42820769;10;3608;0.84%;0.28
Ресторанный маркетинг | Энциклопедия ресторатора;https://vk.com/restmarketing;46461008;10;58393;0.84%;0.02
Секреты Арт-директора|маркетолога|ресторатора;https://vk.com/art_directoru;47260027;10;15402;0.84%;0.06
Маркетинг: фишки, кейсы, статьи, стратегии;https://vk.com/market_line;49828057;10;1201;0.84%;0.83
Прибыльный маркетинг;https://vk.com/club58427988;58427988;10;582;0.84%;янв.72
Ретаргетинг ВКонтакте | GetTarget;https://vk.com/retargeting_vk_gettarget;72296030;10;1599;0.84%;0.63
ОКТаргет - парсер аудитории в «ОК» и «ВК»;https://vk.com/oktarget_wildo;87961324;10;4895;0.84%;0.20
SMM Bro | Бизнес и маркетинг;https://vk.com/smmbro;101784374;10;9851;0.84%;0.10
Маркетинг по Данте;https://vk.com/dantemarket;123571796;10;33283;0.84%;0.03
EVOLIUM MARKETING | Маркетинговое агентство;https://vk.com/evo_marketing;41179708;9;4990;0.76%;0.18
Реклама в Instagram (инстаграм) от Gold Insta;https://vk.com/goldinsta;44473701;9;5546;0.76%;0.16
Конференция «День интернет-рекламы»;https://vk.com/advdays;45591645;9;2049;0.76%;0.44
Маркетинг;https://vk.com/affmarketer;49488809;9;3401;0.76%;0.26
Хиталама.ретаргетинг;https://vk.com/hitalama.retargeting;69562915;9;912;0.76%;0.99
